Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,AreaName,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to parent value or percentiles,Time period Sortable,New data,Compared to goal,Time period range
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),,,E92000001,England,England,Persons,<15 yrs,,,2022/23,75.30912,74.76962,75.85155,74.45987,76.16514,"74,588",9904245,,Decreasing and getting better,Not compared,,20220000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E12000001,North East region (statistical),Government Office Region (E12),Persons,<15 yrs,,,2022/23,116.0256,112.8482,119.2235,111.0594,121.0986,"5,125",441713,,Decreasing and getting better,Worse,Worse,20220000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E12000002,North West region (statistical),Government Office Region (E12),Persons,<15 yrs,,,2022/23,97.8392,96.1574,99.543,95.1978,100.5316,"12,890",1317468,,Decreasing and getting better,Worse,Worse,20220000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E12000009,South West region (statistical),Government Office Region (E12),Persons,<15 yrs,,,2022/23,80.7243,78.8983,82.6044,77.8538,83.6909,"7,335",908648,,Decreasing and getting better,Worse,Worse,20220000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Government Office Region (E12),Persons,<15 yrs,,,2022/23,80.6663,78.8922,82.4913,77.8772,83.5459,"7,765",962608,,Decreasing and getting better,Worse,Worse,20220000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E12000005,West Midlands region (statistical),Government Office Region (E12),Persons,<15 yrs,,,2022/23,75.6915,74.0669,77.3427,73.1424,78.3022,"8,250",1089951,,Decreasing and getting better,Similar,Similar,20220000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E12000008,South East region (statistical),Government Office Region (E12),Persons,<15 yrs,,,2022/23,70.3771,69.0839,71.6635,68.3535,72.4172,"11,490",1632634,"<span class=""tooltipValueNote"">* Should be treated with caution due to Frimley Health Foundation Trust not submitting any HES data for June 2022 to March 2023. In 2021/22, between 1% and 10% of hospital patients from this area were treated at Frimley Health Foundation Trust</span>",Decreasing and getting better,Better,Better,20220000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E12000006,East of England region (statistical),Government Office Region (E12),Persons,<15 yrs,,,2022/23,63.8482,62.3643,65.3224,61.5308,66.1898,"7,200",1127674,,Decreasing and getting better,Better,Better,20220000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E12000007,London region (statistical),Government Office Region (E12),Persons,<15 yrs,,,2022/23,60.1049,58.8989,61.3166,58.2155,62.024,"9,545",1588057,,Decreasing and getting better,Better,Better,20220000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E12000004,East Midlands region (statistical),Government Office Region (E12),Persons,<15 yrs,,,2022/23,59.1867,57.5248,60.8355,56.5964,61.8096,"4,945",835492,,Decreasing and getting better,Better,Better,20220000,New data,,1y
